Language of Original Document,Document Type,Year,Authors,Title,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Source,EID
English; Italian,Article,2019,"Garozzo R., Turco M.L., Santagati C.",Information models to manage complexity for an integrated knowledge project [Modelli informativi e gestione della complessitàper un progetto integrato di conoscenza],Disegno,2019,4,,225,236,,1,10.26375/disegno.4.2019.21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072179046&doi=10.26375%2fdisegno.4.2019.21&partnerID=40&md5=3bf344e2ce38b5d0abae35bcbe9e6f63,"The study aims to identify optimal workflows to create information models oriented to the management and the knowledge of architectural heritage in a state of ruin, through the analysis of the critical issues found in the parametric modeling of the existing artifact. The methodology is aimed at analysing possible criteria for the enhancement of the data detected in the transition from point cloud to a semantic model, and the management of the level of graphic detail (LoG, Level of Geometry) and information attributes (LoI, Level of Information), in order to define possible procedures to measure the Level of Reliability of the survey. The case study is the Mother Church of the ancient Misterbianco (Catania), one of the rare surviving vestiges of the eruption of Mount Etna in 1669 and the ear-thquake in Val di Noto in 1693. Thanks to its state of preservation and its cultural relevance, it represents the ideal case study for the proposed experimentation. (R.G., M.L.T., C.S.). © 2019, UID Unione Italiana Disegno. All rights reserved.",Scopus,2-s2.0-85072179046
English,Article,2018,"McCombie J.S.L., Spreafico M.R.M., Xu S.","Productivity growth of the cities of Jiangsu province, China: a Kaldorian approach",International Review of Applied Economics,32,4,,450,471,,4,10.1080/02692171.2017.1351529,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023767870&doi=10.1080%2f02692171.2017.1351529&partnerID=40&md5=ac6aa531cf46c33a1f96d2a7b09d2118,"This paper considers the determinants of economic growth of the cities of Jiangsu province, China, adopting a Kaldorian approach. It is found that there is a close correlation between the growth of non-industry and industry (Kaldor’s first law) that provides indirect evidence for the export-base theory. The paper discusses two competing explanations of the foundations of the Verdoorn law (Kaldor’s second law), which, in its simplest form, is the relationship between industrial productivity and output growth. It also considers the static–dynamic Verdoorn law paradox. This arises from the fact that estimating the Verdoorn law in log-levels often gives statistically insignificant estimates of the Verdoorn coefficient while the use of growth rates gives significant values of around one half. The results show that this does not occur when data for the cities are used. A plausible explanation for the paradox is that it results from spatial aggregation bias. It is also found that inter-province urban productivity disparities first increase, but subsequently decrease over the period considered. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",Scopus,2-s2.0-85023767870
English,Article,2014,Garcia X.,The value of rehabilitating urban rivers: the Yarqon River (Israel),Journal of Environmental Economics and Policy,3,3,,323,339,,4,10.1080/21606544.2014.923338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975631884&doi=10.1080%2f21606544.2014.923338&partnerID=40&md5=23983c8c8f12d983d076e84f90f31bde,"Rehabilitating the good ecological status of rivers in urban catchments can represent a wise decision since it can enhance the provision of valuable ecosystem services, such as aesthetic appreciation. The higher prices of houses located closer to rivers are a reflection of the willingness of households to pay for access to such service. The main objective of this study was to apply a hedonic pricing analysis to estimate the benefits generated by this ecosystem service due to the rehabilitation of the Yarqon River in Israel. During the last two decades, several projects and actions, such as the discharge of tertiary-quality effluents, have increased the quantity and quality of the river's water and improved its ecological state. Using a sample of 883 houses in the Tel-Aviv Metropolitan Area and selecting a mixed log-level functional form (R2 = 0.808), it was found that an increase of 1% in the distance to the Yarqon caused a 0.12% decrease in the price of a house. Finally, benefits are estimated and compared with the rehabilitation costs, showing that, even if no other ecosystem services are considered, the rehabilitation can prove to be beneficial to society. © 2014 Journal of Environmental Economics and Policy Ltd.",Scopus,2-s2.0-84975631884
Spanish,Article,2012,"Soto L., Valenzuela L., Lasserre J.P.","Effect of initial planting density in dynamic modulus of elasticity in standing trees and logs of 28 years old radiata pine plantation in sandy soil, Chile [Efecto de la densidad de plantación inicial en el módulo de elasticidad dinámico de árboles en pie y trozas de una plantación de pino radiata de 28 años, en la zona de renales, Chile]",Maderas: Ciencia y Tecnologia,14,2,,209,224,,6,10.4067/S0718-221X2012000200008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871453502&doi=10.4067%2fS0718-221X2012000200008&partnerID=40&md5=ec95582cd45cd847a26fffd9dd4aa97d,"The influence of initial planting density (DPI) on the dynamic modulus of elasticity (MOEd) was examinated at a 28 years old Pinus radiata D. Don spacing experiment with four treatments (2500, 1667, 833 and 625 stem·ha-1) growing on sandy soil, in the Biobío Region, Chile. The MOEd acoustic technology was determined using the method of time of flying (Tv) for standing trees and the resonance method (Res) for two logs of 5 m long, extracted from the tree base to the top of each tree. MOEd was not significantly infiuenced by DPI in high initial stocking treatments (2500, 1667 and 833 stem·ha-1), both standing trees and logs level. In contrast, the lowest initial stocking treatment (625 stem·ha-1) had the highest MOEd, significantly different in standing trees and the fi rst the log, and similar between the first and second log.",Scopus,2-s2.0-84871453502
English,Article,2009,"Benjamin J.G., Chui Y.H., Kershaw J.A.",Circular distribution of branches from plantation grown black spruce in Ontario,Northern Journal of Applied Forestry,26,1,,15,20,,3,10.1093/njaf/26.1.15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-64249135706&doi=10.1093%2fnjaf%2f26.1.15&partnerID=40&md5=0b8328ef19526f98ba9c75b8e068dd50,"The literature is not consistent in descriptions related to branch location around a stem and, consequently, few models exist to predict distribution of branch azimuth. The objective of this study was to determine if branches in black spruce are uniformly distributed around the stem at the tree, log, and whorl levels with respect to branch size. Branch size limits were selected to reflect the largest branch per whorl and knot size limits were established by visual grading rules for 2 × 3 and 2 × 4 dimension lumber. Using Rayleigh's test of uniformity, branches are considered to be uniformly distributed around the stem for all branch size limits: between 40 and 80% at the tree level, over 70% at the log level, and virtually 100% at the whorl level. The findings of this study indicate that a simple random assignment (from a uniform distribution) of branches around the stem within each whorl is sufficient to properly describe branch location within black spruce tree growth models. © 2009 by the Society of American Foresters.",Scopus,2-s2.0-64249135706
English,Conference Paper,2019,"Yuan Y., Shi W., Liang B., Qin B.",An approach to cloud execution failure diagnosis based on exception logs in openstack,"IEEE International Conference on Cloud Computing, CLOUD",2019-July,,8814553,124,131,,6,10.1109/CLOUD.2019.00031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072338405&doi=10.1109%2fCLOUD.2019.00031&partnerID=40&md5=b510f5de0fbacd98527f7431ca023547,"Cloud is getting ubiquitous and scales up rapidly. It is critical to effectively detect and efficiently repair system anomalies for a robust cloud. Many efforts have been made to facilitate analysis of system problems with the readily-available and massive cloud logs. However, most tools can still not automatically recognize failures related to a specific cloud operating system task. To diagnose execution failures of a cloud, it is inevitable to monitor corresponding system tasks. In this paper, we propose a lightweight approach to identify cloud behaviors related to failed executions of the cloud operating system for failure diagnosis, by exploiting logs of ERROR logging level in a cloud. Instead of working on execution sequences extracted from logs for all system tasks, we focus on automated recognition of exception logs generated by a system task. These logs are critical snippets of execution traces for failure diagnosis of a cloud. In our work, exception logs are extracted and associated with the respective system task. Efforts can be reduced by comparing patterns of new error cloud behaviors with cloud behaviors met before. With experiments on OpenStack, a popular open source cloud operating system, we demonstrate that our work is effective and efficient for execution failure diagnosis of a cloud. Our approach can also be used as a complementary method for log-based troubleshooting tools concentrating on execution sequences. © 2019 IEEE.",Scopus,2-s2.0-85072338405
English,Article,2011,"Walsh R.P.D., Bidin K., Blake W.H., Chappell N.A., Clarke M.A., Douglas I., Ghazali R., Sayer A.M., Suhaimi J., Tych W., Annammala K.V.",Long-term responses of rainforest erosional systems at different spatial scales to selective logging and climatic change,Philosophical Transactions of the Royal Society B: Biological Sciences,366,1582,,3340,3353,,37,10.1098/rstb.2011.0054,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054707985&doi=10.1098%2frstb.2011.0054&partnerID=40&md5=5d8e36e5efa206b1924b63cdaca275e9,"Long-term (21-30 years) erosional responses of rainforest terrain in the Upper Segama catchment, Sabah, to selective logging are assessed at slope, small and large catchment scales. In the 0.44 km2 Baru catchment, slope erosion measurements over 1990-2010 and sediment fingerprinting indicate that sediment sources 21 years after logging in 1989 are mainly road-linked, including fresh landslips and gullying of scars and toe deposits of 1994-1996 landslides. Analysis and modelling of 5-15 min stream-suspended sediment and discharge data demonstrate a reduction in stormsediment response between 1996 and 2009, but not yet to pre-logging levels. An unmixing model using bed-sediment geochemical data indicates that 49 per cent of the 216 t km-2 a-1 2009 sediment yield comes from 10 per cent of its area affected by road-linked landslides. Fallout 210Pb and 137Cs values from a lateral bench core indicate that sedimentation rates in the 721 km2 Upper Segama catchment less than doubled with initially highly selective, low-slope logging in the 1980s, but rose 7-13 times when steep terrain was logged in 1992-1993 and 1999-2000. The need to keep steeplands under forest is emphasized if landsliding associated with current and predicted rises in extreme rainstorm magnitude-frequency is to be reduced in scale. © 2011 The Royal Society.",Scopus,2-s2.0-80054707985
English,Article,1996,Plumptre A.J.,"Changes following 60 years of selective timber harvesting in the Budongo Forest Reserve, Uganda",Forest Ecology and Management,89,1-3,,101,113,,124,10.1016/S0378-1127(96)03854-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030301743&doi=10.1016%2fS0378-1127%2896%2903854-6&partnerID=40&md5=978ce2757e787d53cc20ae4ff0ab6071,"The controlled extraction of timber from the Budongo Forest Reserve began in the 1930s. From the start of the operations it was intended that the timber should be harvested on a sustainable yield basis and the first of several 10-year working plans for the forest was drawn up in 1933. This paper documents the volume of timber removed, the date of logging, date of arboricide treatment and volume of arboricide applied in most compartments in the forest. Four species of mahogany formed about 65% of the timber extracted and this remained almost constant over the years despite attempts to encourage the use of other species by the Uganda Forest Department. Forest type maps made from sets of aerial photographs taken in 1951 and 1990 showed an increase in 'mixed forest' at the expense of 'Cynometra forest'; one of the major aims of the arboricide treatment. Ordination of the basal areas of the common tree species showed that the geographical position of a compartment explained more of the variation in species distribution than the variation between adjacent logged and unlogged compartments. A more detailed inventory of all species of tree in eight compartments across the forest showed greater species richness in the west of the forest and greater species richness in logged compartments. Measures of forest structure showed that more than 50 years is required for the forest to recover to pre-logging levels.",Scopus,2-s2.0-0030301743
English,Article,2014,"Watt M.S., Trincado G.",Modelling between tree and longitudinal variation in green density within Pinus radiata: Implications for estimation of MOE by acoustic methods,New Zealand Journal of Forestry Science,44,1,16,,,10,7,10.1186/s40490-014-0016-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907221240&doi=10.1186%2fs40490-014-0016-5&partnerID=40&md5=0f1da5345a690679cc15f8a6e4b3acef,"Background: Instruments based on resonance are widely used in the forest industry to predict modulus of elasticity (MOE) and segregate logs of varying quality for different end uses for fast growing softwoods such as Pinus radiata D. Don. Predictions of MOE, made using resonance instruments, often assume a constant green density, ρg, of 1,000 kg m−3. However, little research has been done to test the robustness of this assumption. The objective of this research was to describe changes in predictive precision of MOE as ρg is increasingly well characterised.Methods: Longitudinal measurements of velocity, V, and ρg taken from eighty 17-year old unthinned P. radiata trees growing at two sites in Chile were used to calculate MOE. Predictions of MOE were then made by substituting measurements of ρg for values predicted by the following models (i) Model 1 - assuming a constant ρg of 1,000 kg m−3, (ii) Model 2 - using the mean tree ρg of 914 kg m−3, (iii) Model 3 - using a model with fixed effects to account for the mean longitudinal variation in ρg, (iv) Model 4 – inclusion of previous terms and random effects to account for tree level variation and (v) Model 5 – inclusion of previous effects (in model 4) and a random quadratic term. Differences in MOE determined from measurements of ρg and the five predictions of ρg were expressed as both a percentage difference, (D) and an absolute percentage difference (Da) to assess precision and bias.Results: At the tree level, values for mean D and Da (in brackets) were −9.9 (10.4)%, −0.459 (5.49)%, −0.262 (4.15)%, −0.045 (0.232)% and −0.0406 (0.189)%, for Models 1, 2, 3, 4 and 5, respectively. At the log level, considerable longitudinal bias in D was evident for Model 1 where over-prediction of MOE was greatest between relative heights of &gt;0.1 − 0.4, with D reaching maximum values of −33.8% between relative heights of &gt; 0.1 − 0.2.Conclusion: Assuming constant ρg can result in substantial error in estimates of MOE using acoustic instruments particularly when predictions are made at the log level. The mixed effects modelling approach described here demonstrates a useful method for characterising variation in ρg allowing more accurate estimates of MOE to be made using acoustic methods. © 2014, Watt and Trincado.",Scopus,2-s2.0-84907221240
English,Article,2011,"Banerjee R., Naessens J.M., Seferian E.G., Gajic O., Moriarty J.P., Johnson M.G., Meltzer D.O.",Economic implications of nighttime attending intensivist coverage in a medical intensive care unit,Critical Care Medicine,39,6,,1257,1262,,54,10.1097/CCM.0b013e31820ee1df,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957646225&doi=10.1097%2fCCM.0b013e31820ee1df&partnerID=40&md5=c673ccb11340acd2da6dcc483b29fae5,"Objective: Our objective was to assess the cost implications of changing the intensive care unit staffing model from on-demand presence to mandatory 24-hr in-house critical care specialist presence. Design: A pre-post comparison was undertaken among the prospectively assessed cohorts of patients admitted to our medical intensive care unit 1 yr before and 1 yr after the change. Our data were stratified by Acute Physiology and Chronic Health Evaluation III quartile and whether a patient was admitted during the day or at night. Costs were modeled using a generalized linear model with log-link and γ-distributed errors. Setting: A large academic center in the Midwest. Patients: All patients admitted to the adult medical intensive care unit on or after January 1, 2005 and discharged on or before December 31, 2006. Patients receiving care under both staffing models were excluded. Intervention: Changing the intensive care unit staffing model from on-demand presence to mandatory 24-hr in-house critical care specialist presence. Measurements and Main Results: Total cost estimates of hospitalization were calculated for each patient starting from the day of intensive care unit admission to the day of hospital discharge. Adjusted mean total cost estimates were 61% lower in the post period relative to the pre period for patients admitted during night hours (7 pm to 7 am) who were in the highest Acute Physiology and Chronic Health Evaluation III quartile. No significant differences were seen at other severity levels. The unadjusted intensive care unit length of stay fell in the post period relative to the pre period (3.5 vs. 4.8) with no change in non-intensive care unit length of stay. Conclusions: We find that 24-hr intensive care unit intensivist staffing reduces lengths of stay and cost estimates for the sickest patients admitted at night. The costs of introducing such a staffing model need to be weighed against the potential total savings generated for such patients in smaller intensive care units, especially ones that predominantly care for lower-acuity patients. Copyright © 2011 by the Society of Critical Care Medicine and Lippincott Williams & Wilkins.",Scopus,2-s2.0-79957646225
English,Article,2021,"Korchenko A., Breslavskyi V., Yevseiev S., Zhumangalieva N., Zvarych A., Kazmirchuk S., Kurchenko O., Laptiev O., Sievierinov O., Tkachuk S.",Development of a Method for Constructing Linguistic Standards for Multi-Criteria Assessment of Honeypot Efficiency,Eastern-European Journal of Enterprise Technologies,1,2(109),,14,23,,,10.15587/1729-4061.2021.225346,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105688889&doi=10.15587%2f1729-4061.2021.225346&partnerID=40&md5=59ffc5a2130823ba2e7ccecfdc28cea1,"One of the pressing areas that is developing in the field of information security is associated with the use of Honeypots (virtual decoys, online traps), and the selection of criteria for determining the most effective Honeypots and their further classification is an urgent task. The main products that implement virtual decoy technologies are presented. They are often used to study the behavior, approaches and methods that an unauthorized party uses to gain unauthorized access to information system resources. Online hooks can simulate any resource, but more often they look like real production servers and workstations. A number of fairly effective developments are known that are used to solve the problems of detecting attacks on information system resources, which are based on the apparatus of fuzzy sets. They showed the effectiveness of the appropriate mathematical apparatus, the use of which, for example, to formalize the approach to the formation of a set of reference values that will improve the process of determining the most effective Honeypots. For this purpose, many characteristics have been formed (installation and configuration process, usage and support process, data collection, logging level, simulation level, interaction level) that determine the properties of online traps. These characteristics became the basis for developing a method for the formation of standards of linguistic variables for further selection of the most effective Honeypots. The method is based on the formation of a Honeypots set, subsets of characteristics and identifier values of linguistic estimates of the Honeypot characteristics, a base and derived frequency matrix, as well as on the construction of fuzzy terms and reference fuzzy numbers with their visualization. This will allow classifying and selecting the most effective virtual baits in the future © 2021, A. Korchenko, V. Breslavskyi, S. Yevseiev, N. Zhumangalieva, A. Zvarych, S. Kazmirchuk, O. Kurchenko, O. Laptiev, O. Sievierinov, S. Tkachuk This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0)",Scopus,2-s2.0-85105688889
Japanese,Article,2016,Yamada T.,Long-term effects of selective logging on tropical forest ecosystems — A case study of the Pasoh forest reserve,Japanese Journal of Ecology,66,2,,275,282,,1,10.18960/seitai.66.2_275,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021301172&doi=10.18960%2fseitai.66.2_275&partnerID=40&md5=01a9604b8bc484d608e70609e1480a54,"The degradation of tropical forests is a major environmental issue related to global warming and biodiversity conservation, and therefore deserves the attention of various international and non-governmental organizations. Commercial timber extraction is believed to be the main driver of degradation in tropical forests. Currently, production forests cover more area than protected forests. In addition, most of the remaining forests are designated for timber production by national forest services. Therefore, the forests remaining after selective logging will play important roles in maintaining and upgrading ecosystem services such as maintenance of carbon stocks and biodiversity in degraded tropical forests. Degraded forest structure and species composition caused by selective logging may be recovered through secondary forest succession. However, it remains unclear how long it takes tropical forests to recover from selective logging. This paper addresses this question from the viewpoints of forest structure, forest illumination, demographic parameters, biomass and tree biodiversity, using data derived from the Pasoh Forest Reserve, Malaysia where selective logging was performed in the 1950s. After selective logging the forest structure, forest illumination, and demographic parameters of this forest were still statistically distinguishable from unlogged forests even 50 years after a logging operation. Forest biomass had almost recovered to the pre-logging level 50 years after the logging operation concluded. However, after logging the biodiversity of the logged forest was quite different from that of the unlogged forest, suggesting that it will take quite a long time—more than 60 years—for biodiversity to recover after logging. © 2016, Tohoku University. All rights reserved.",Scopus,2-s2.0-85021301172
English,Article,2010,"Bren L., Lane P., Hepworth G.",Longer-term water use of native eucalyptus forest after logging and regeneration: The Coranderrk experiment,Journal of Hydrology,384,1-2,,52,64,,33,10.1016/j.jhydrol.2010.01.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649187524&doi=10.1016%2fj.jhydrol.2010.01.007&partnerID=40&md5=b14503c3b68f5063f9d0e89a23e4d513,"The Coranderrk Project, located 70 km east of Melbourne, is Australia's longest-running paired catchment study. Three small catchments (""Slip Creek"", ""Blue Jacket Creek"", and ""Picaninny Creek"") originally carrying old growth mountain ash and mixed species have been gauged since 1958. In 1971/72 Picaninny Creek catchment was substantially clear-felled and regenerated, predominantly with mountain ash (Eucalyptus regnans). The annual flow increased for the next 3 years (relative to the control), reaching a peak of almost 300 mm increase relative to the control catchment. Flow then declined; 8 years after the logging the annual flow had returned to pre-logging levels. Annual flow then continued to decline with a maximum reduction of around 200 mm per annum. Thirty-four years after logging the flow was still below the pre-treatment flow and showing no sign of recovery, although there were year to year variations associated with rainfall and drought. In 1972/73 Blue Jacket Creek had a ""sawmiller selection"" cutting in which approximately 50% of the basal area was removed. The response was a similar but muted version of the Picaninny Creek response. A statistical analysis used 1 year of the pre-treatment period to establish error limits. This showed that in both cases there was a statistically significant increase in flow followed by a statistically significant decrease in flow relative to old growth. Measurement of two of the catchments is continuing. © 2010 Elsevier B.V. All rights reserved.",Scopus,2-s2.0-77649187524
English,Article,2006,"Bleher B., Uster D., Bergsdorf T.","Assessment of threat status and management effectiveness in Kakamega Forest, Kenya",Biodiversity and Conservation,15,4,,1159,1177,,65,10.1007/s10531-004-3509-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745442838&doi=10.1007%2fs10531-004-3509-3&partnerID=40&md5=84f9b50e982cf48f4351f5c13b7f6150,"To counteract an increasing biodiversity decline, parks and protected areas have been established worldwide. However, many parks lack adequate management to address environmental degradation. To improve management strategies simple tools are needed for an assessment of human impact and management effectiveness of protected areas. This study quantifies the current threats in the heavily fragmented and degraded tropical rainforest of Kakamega, western Kenya. We recorded seven disturbance parameters at 22 sites in differently managed and protected areas of Kakamega Forest. Our data indicate a high level of human impact throughout the forest with illegal logging being most widespread. Furthermore, logging levels appear to reflect management history and effectiveness. From 1933 to 1986, Kakamega Forest was under management by the Forest Department and the number of trees logged more than 20 years ago was equally high at all sites. Since 1986, management of Kakamega Forest has been under two different organizations, i.e. Forest Department and Kenya Wildlife Service. The number of trees logged illegally in the last 20 years was significantly lower at sites managed by the Kenya Wildlife Service. Finally, logging was lower within highly protected National and Nature Reserves as compared to high logging within the less protected Forest Reserves. Reflecting management effectiveness as well as protection status in Kakamega Forest, logging might therefore provide a valuable quantitative indicator for human disturbance and thus an important tool for conservation managers. Logging might be a valuable indicator for other protected areas, too, however, other human impact such as e.g. hunting might also prove to be a potential indicator. © Springer 2006.",Scopus,2-s2.0-33745442838
English,Conference Paper,2020,"Bharkad V.S., Chavan M.K.",Optimizing Root Cause Analysis Time Using Smart Logging Framework for Unix and GNU/Linux Based Operating System,Advances in Intelligent Systems and Computing,1077,,,519,528,,,10.1007/978-981-15-0936-0_55,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081702795&doi=10.1007%2f978-981-15-0936-0_55&partnerID=40&md5=00ef124ef1623cfa31650a1ae7683291,"The computer activity records are used for statistical purposes, backup, recovery, and root cause analysis of failure on application. These records are referred as a log. The log files are written for recording incoming dialogs, debug, error, status of an application and certain transaction details, by the operating system or other control program. The logs generated by an application that can be referred by user that may be helpful in the event of failure. For example, in a file transfer, FTP program generates a log file consist of date, time, source and destination, etc. In this number of logs generated by the application uses too much disk space. If the logging is tuned down (e.g., by lowering the log level) then the disk space usage is less, but then not enough information is available for debugging issue. To address this problem we proposed a Smart Logging Framework. The Smart Logging Framework provides the feature such as In-memory logging, In-memory packet capturing and Zoom-in log viewer. © 2020, Springer Nature Singapore Pte Ltd.",Scopus,2-s2.0-85081702795
English,Article,2016,"Aksu F., Uran H., Dülger Altiner D., Sandikçi Altunatmaz S.",Effects of different packaging techniques on the microbiological and physicochemical properties of coated pumpkin slices,Food Science and Technology,36,3,,549,554,,3,10.1590/1678-457X.00432,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010931898&doi=10.1590%2f1678-457X.00432&partnerID=40&md5=5a98a5d1b3561b967f85feb3ab42fc01,"In this study the effects of zein film coating along with benzoic acid on the quality of sliced pumpkin samples, which were packaged with different techniques were investigated. The samples were allocated into different groups and were treated with different processes. Following processing, the samples were stored at +4 °C for twenty days. Physicochemical and microbiological analyses were carried out on the samples once every five days during the storage period. According to color analysis, the L* value was observed to have significantly decreased in the processed and packaged samples in comparison with the control group. Besides, a* and b* values increased in all groups. It was determined that zein film alone did not exhibit the expected effectiveness against moisture loss in the samples. According to the results of microbiological analysis, a final decrease at approximately 1.00 log level was determined in total count of mesophilic aerobic bacteria (TMAB) in the group which was vacuum packaged in PVDC with zein coating when compared with the initial TMAB. Furthermore, no molding occurred in zein-coated group on the last day of the storage period, while massive mold growth was noted in the group which was packaged without any pretreatment procedure. © 2016, Sociedade Brasileira de Ciencia e Tecnologia de Alimentos, SBCTA. All rights reserved.",Scopus,2-s2.0-85010931898
English,Article,2016,"Bobuş-Alkaya G., Eser E., İbrahim Ekiz H.",Evaluation of different detachment methods for the bacterial recovery from parsley surface,"Journal of Food, Agriculture and Environment",14,2,,34,37,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966587119&partnerID=40&md5=7073d78581ffaa42a97e8cec362edc6c,"Reliable quantification of microbial growth in food samples has typically been difficult primarily due to the complicacy of food matrices. Therefore, initial sampling and resuspension procedures become critical to the subsequent determination of microbial load. This paper presents a comparison of bacteria recovery methods. Vortexing, homogenization with ultraturrax and stomaching methods were used to remove cells from the parsley surface. For this purpose three types of parsley (the small, curly and large leaf structure) were inoculated with non-pathogenic Escherichia coli ATCC 25922 strain by the initial levels of 9.5, 6 and 3 log cfu/ml bacterial culture. Detachment methods were applied and all methods yielded the approximately equal number of bacteria for each inoculation level. Means of recovered bacteria number were found as 8.1, 6.1 and 2.6 log cfu/g, respectively. It was concluded that E. coli was recovered in large amounts using all methods. Additionally, total number of aerobic bacteria and total coliform bacteria counts of parsley samples which were purchased from retail markets were determined for sixteen different samples and found as approximately 5.3 cfu/g log level. © 2016, World Food Ltd. and WFL Publishers. All Rights Reserved.",Scopus,2-s2.0-84966587119
English,Conference Paper,2012,"Bag A., Rodi S., Pillai K.",Performance testing of super fast application,CMG 2012 International Conference,,,,,,9,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883061195&partnerID=40&md5=f8a501c27003940313f2c0d709a76a38,"Performance Testing (both unit and system) is useful to understand application and sub-component(s) performance characteristics. System/Application performance testing gives insight into the overall performance of the application and is useful to debug performance issues before and during production phase. For High Performance Computing (HPC) applications, unit performance testing/proof-of-concept (POC) is very important to help choose from the different options (technology, design, data structures etc). For HPC applications, doing system performance testing becomes very complex as simulating very high input throughputs may necessitate construction of custom load injectors. Also, in HPC applications with complex workflows, simulating proper transaction mix and maintaining stable backend database size becomes complex. Monitoring different data points (latency, throughput) and debugging (log levels) is also tricky because of the overheads those incur. Unit performance testing of critical components involves complex workload and throughput modeling to determine achievable performance. This paper outlines two examples, one for POC through unit performance testing of a very high throughput application at architecture and design phase. The other is of system performance testing of a very high throughput application for SLA certification and tuning purpose.",Scopus,2-s2.0-84883061195
English,Conference Paper,2019,"Al-Bulushi N., Kraishan G., Hursan G.","Capillary pressure corrections, quality control and curve fitting workflow","International Petroleum Technology Conference 2019, IPTC 2019",,,,,,,1,10.2523/19514-ms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085851895&doi=10.2523%2f19514-ms&partnerID=40&md5=05a6271e2e82efaf90679aa40e3f4bd1,"Capillary pressure is a crucial step in reservoir properties definition and distribution during static and dynamic modelling. It is a key input into saturation height modelling (SHM) process, understanding the fluid distribution and into reservoir rock typing process. Capillary pressure models provide an insight into field dynamic for the identification of swept zones and provide another calibration besides the log calculated saturation. Capillary pressure curve tends to be more complex in carbonates in comparison to sandstone reservoirs because of post deposition processes that impact the rock flow properties, hence complex pore throat size distribution (uni-modal, bi-modal or tri-modal). Therefore, accurate determination of this property is the cornerstone in the reservoir characterization process. Capillary pressure can be obtained using several experimental techniques, such as mercury injection (MICP), centrifuge (CF) and porous plate (PP). Each method has its own inherited advantages and disadvantages. The MICP method tends to be faster, cheaper and provides a full spectrum of pore throat size of a plug. Whereas, the PP method can be carried out at reservoir conditions with minimum required corrections. In this paper, a detailed workflow for quality control capillary pressure is discussed. The workflow is subdivided into three main parts: Instrumental and experimental level, core measurement level and logs level. Experimental level starts with proper designing the actual procedure of the capillary pressure experiment. Parameters such as pore volume, bulk volume and grain density are investigated at core measurement level. In geological-petrography montage, all petrography data; X-Ray Diffraction (XRD), Scanning Electron Microscope (SEM), thin section and computed tomography scan (CT) are used along with the capillary pressure curve for assessment. Comparing various methodologies of experimental technique carried out on twin plugs, if exist, are also investigated. The capillary pressure that passes the previous QC steps is used as input into saturation-point comparison as a logs level QC. The saturation calculated from capillary pressure is compared to log-derived water saturation eliminating any issues with porosity and permeability of the trims and provides insight to the uncertainty level in the model. As an additional step, the MICP measurements are fitted with bi-modal Gaussian basis functions with two practical benefits. First, the quality of this fitting is a useful indicator for the evaluation of pore structure complexity and the identification erroneous measurements. Second, the fitting parameters are useful inputs for geological interpretation, rock typing and SHM. This rapid and automated workflow is a useful tool for screening, processing and integration of large-scale capillary pressure data sets, a key step in integrated reservoir description, characterization and modelling. © 2019, International Petroleum Technology Conference",Scopus,2-s2.0-85085851895
